Bird,Song,Block,Time,Played
CB6,BDY-,1,6:30 AM,0
CB6,LB,1,8:00 AM,0
CB6,BOD,1,9:30 AM,0
CB6,BDY,1,11:00 AM,0
CB6,LB-,1,12:30 PM,0
CB6,DMG,1,2:00 PM,0
CB6,BDY,2,3:30 PM,0
CB6,BDY-,2,5:00 PM,0
CB6,BOD,2,6:30 AM,0
CB6,LB,2,8:00 AM,0
CB6,DMG,2,9:30 AM,0
CB6,LB-,2,11:00 AM,0
CB6,BDY,3,12:30 PM,0
CB6,DMG,3,2:00 PM,0
CB6,LB-,3,3:30 PM,0
CB6,BOD,3,5:00 PM,0
CB6,BDY-,3,6:30 AM,0
CB6,LB,3,8:00 AM,0
CB6,BDY-,4,9:30 AM,0
CB6,LB,4,11:00 AM,0
CB6,LB-,4,12:30 PM,0
CB6,BOD,4,2:00 PM,0
CB6,BDY,4,3:30 PM,0
CB6,DMG,4,5:00 PM,0
CB6,BOD,5,6:30 AM,0
CB6,LB,5,8:00 AM,0
CB6,BDY,5,9:30 AM,0
CB6,BDY-,5,11:00 AM,0
CB6,LB-,5,12:30 PM,0
CB6,DMG,5,2:00 PM,0
CB6,BDY,6,3:30 PM,0
CB6,DMG,6,5:00 PM,0
CB6,LB-,6,6:30 AM,0
CB6,LB,6,8:00 AM,0
CB6,BOD,6,9:30 AM,0
CB6,BDY-,6,11:00 AM,0
CB6,LB,7,12:30 PM,0
CB6,BDY,7,2:00 PM,0
CB6,DMG,7,3:30 PM,0
CB6,BDY-,7,5:00 PM,0
CB6,LB-,7,6:30 AM,0
CB6,BOD,7,8:00 AM,0
CB6,BOD,8,9:30 AM,0
CB6,LB-,8,11:00 AM,0
CB6,BDY,8,12:30 PM,0
CB6,BDY-,8,2:00 PM,0
CB6,DMG,8,3:30 PM,0
CB6,LB,8,5:00 PM,0
CB6,LB-,9,6:30 AM,0
CB6,BDY-,9,8:00 AM,0
CB6,BDY,9,9:30 AM,0
CB6,BOD,9,11:00 AM,0
CB6,DMG,9,12:30 PM,0
CB6,LB,9,2:00 PM,0
CB6,LB,10,3:30 PM,0
CB6,LB-,10,5:00 PM,0
CB6,BDY-,10,6:30 AM,0
CB6,BDY,10,8:00 AM,0
CB6,DMG,10,9:30 AM,0
CB6,BOD,10,11:00 AM,0
CB6,BOD,11,12:30 PM,0
CB6,BDY,11,2:00 PM,0
CB6,BDY-,11,3:30 PM,0
CB6,DMG,11,5:00 PM,0
CB6,LB,11,6:30 AM,0
CB6,LB-,11,8:00 AM,0
CB6,BDY,12,9:30 AM,0
CB6,BDY-,12,11:00 AM,0
CB6,LB-,12,12:30 PM,0
CB6,LB,12,2:00 PM,0
CB6,BOD,12,3:30 PM,0
CB6,DMG,12,5:00 PM,0
CB6,BOD,13,6:30 AM,0
CB6,BDY,13,8:00 AM,0
CB6,LB,13,9:30 AM,0
CB6,LB-,13,11:00 AM,0
CB6,BDY-,13,12:30 PM,0
CB6,DMG,13,2:00 PM,0
CB6,BDY,14,3:30 PM,0
CB6,LB-,14,5:00 PM,0
CB6,BDY-,14,6:30 AM,0
CB6,LB,14,8:00 AM,0
CB6,BOD,14,9:30 AM,0
CB6,DMG,14,11:00 AM,0
CB6,LB,15,12:30 PM,0
CB6,LB-,15,2:00 PM,0
CB6,BOD,15,3:30 PM,0
CB6,BDY,15,5:00 PM,0
CB6,DMG,15,6:30 AM,0
CB6,BDY-,15,8:00 AM,0
CB6,DMG,16,9:30 AM,0
CB6,BDY-,16,11:00 AM,0
CB6,LB-,16,12:30 PM,0
CB6,BDY,16,2:00 PM,0
CB6,LB,16,3:30 PM,0
CB6,BOD,16,5:00 PM,0
